动账时间,动帐流水号,动账方向,动账金额,动账账户,动账场景,计费类型,子订单号,订单号,售后编号,下单时间,商品ID,商品名称,达人ID,达人名称,订单类型,订单实付应结,运费实付,实际平台补贴_运费,实际平台补贴,其他平台补贴,以旧换新抵扣,政府补贴平台垫资,实际达人补贴,实际抖音支付补贴,实际抖音月付营销补贴,银行补贴,订单退款,平台服务费,佣金,服务商佣金,渠道分成,招商服务费,站外推广费,其他分成,是否免佣,免佣金额,商户主体名称,备注
2026-03-04 04:40:48,'2026030404404520180218982628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950913491489330383,'6950913491489330383,'SS76121410532441666940233,2026-02-26 07:43:35,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 05:39:15,'2026030405391219013801372628,入账,14.24,聚合账户,货款结算入账,精选联盟,'6950915044022818550,'6950915044022818550,'SS76122802794160625000161,2026-02-27 08:25:36,'3805378828843483239,2026新款冲电黄小鸭泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,14.99,0,0,0,0,0,0,0,0,0,0,0,-0.75,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 06:30:50,'2026030406304314858330062628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950886796191274402,'6950886796191274402,'SS76121735279874542230219,2026-02-26 09:07:00,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 07:58:18,'2026030407581531969774182628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924520783708323371,'6924520783708323371,'SS76122804347092383240111,2026-02-27 08:04:49,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 08:22:48,'2026030408224434779510172628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924503980255379367,'6924503980255379367,'SS76122148839673372680109,2026-02-26 07:04:33,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,5.68,0,0,4.31,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 08:22:48,'2026030408224501049769392628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924501845186477280,'6924501845186477280,'SS76122200851806623350138,2026-02-26 08:38:36,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 08:22:48,'2026030408224428613678442628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924504006402867140,'6924504006402867140,'SS76121204352489067930034,2026-02-26 08:23:26,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,5.99,0,0,4,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 09:04:31,'2026030409042730856033792628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950913536648419275,'6950913536648419275,'SS76121706886188567300162,2026-02-26 08:23:26,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-04 09:45:45,'2026030409453934661012882628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950906999484126548,'6950906999484126548,'SS76121862965550456660236,2026-02-26 08:31:14,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 01:53:30,'2026030501532625297062672628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950914986691269933,'6950914986691269933,'SS76126109360590525590197,2026-02-27 07:02:55,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 02:28:40,'2026030502283537791872192628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950893503275799926,'6950893503275799926,'SS76126364612800356360201,2026-02-26 09:09:58,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,5.99,0,0,4,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 03:00:35,'2026030503002936660191222628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924499634467994847,'6924499634467994847,'SS76126128000911816190186,2026-02-26 07:51:44,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 03:01:09,'2026030503010341614914912628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924523146282565147,'6924523146282565147,'SS76125893234266442500217,2026-02-27 08:14:36,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 03:01:37,'2026030503013219302325912628,入账,9.79,聚合账户,货款结算入账,精选联盟,'6924257022330174907,'6924257022330174907,'SS76052438180867159440149,2026-02-08 07:14:51,'3796351544073519123,电动牵绳小马声光跳萌宠益智早教启蒙科学实验【自备2节5号电池,'2802025515201240,欣宝丫头玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 04:00:01,'2026030503595713476173302628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924523071509396764,'6924523071509396764,'SS76126056493987312700242,2026-02-27 06:55:10,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 04:00:34,'2026030504003215363443602628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950927977944454793,'6950927977944454793,'SS76126000700684700260064,2026-02-27 08:01:51,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 04:12:20,'2026030504121440319885312628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950934567700599903,'6950934567700599903,'SS76126222488217034780089,2026-02-27 08:12:19,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 04:12:20,'2026030504121427235456272628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950895550273098755,'6950895550273098755,'SS76125387482160827220064,2026-02-26 07:48:51,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 04:12:20,'2026030504121533010693382628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950917465875748367,'6950917465875748367,'SS76125963337650058660113,2026-02-27 07:29:12,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 04:12:20,'2026030504121519769265142628,入账,9.79,聚合账户,货款结算入账,精选联盟,'6924263603710492609,'6924263603710492609,'SS76125588247754673270051,2026-02-08 06:31:24,'3796351544073519123,电动牵绳小马声光跳萌宠益智早教启蒙科学实验【自备2节5号电池,'2802025515201240,欣宝丫头玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 04:56:53,'2026030504565100503482942628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924504101283396925,'6924504101283396925,'SS76124907458765627070210,2026-02-26 09:14:53,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 05:18:44,'2026030505183311760276892628,出账,5.1,聚合账户,上门取件运费,,'6950932600760309291,'6950932600760309291,'147380373043221284,,,,,,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,广州斌立科技有限公司,因商品存在品质问题，扣除商家相应金额进行运费赔付-订单6950932600760309291-售后单147380373043221284-运单73597592794153
2026-03-05 06:35:10,'2026030506350700007050342628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950906975348528959,'6950906975348528959,'SS76125574418005040740151,2026-02-26 08:32:19,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 07:44:44,'2026030507444116580981822628,入账,18.98,聚合账户,货款结算入账,精选联盟,'6950906959979616097,'6950906959979616097,'SS76124753881199582910228,2026-02-26 08:24:54,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,19.98,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 07:45:04,'2026030507450204926180472628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950921302462567686,'6950921302462567686,'SS76125942978581793910084,2026-02-27 08:07:23,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 07:45:13,'2026030507451108224609432628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950905916559922489,'6950905916559922489,'SS76126617968806792180172,2026-02-27 08:11:27,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 08:19:08,'2026030508190323167308892628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950913495181629057,'6950913495181629057,'SS76125001139589783140198,2026-02-26 08:05:00,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 08:19:13,'2026030508190805045952502628,入账,9.79,聚合账户,货款结算入账,精选联盟,'6950638353940091917,'6950638353940091917,'SS76125588205859146390084,2026-02-08 06:35:47,'3796351544073519123,电动牵绳小马声光跳萌宠益智早教启蒙科学实验【自备2节5号电池,'2802025515201240,欣宝丫头玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.2,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 08:19:14,'2026030508191014643697042628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924506434110455749,'6924506434110455749,'SS76126208401901532700065,2026-02-26 08:41:07,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,5.99,0,0,4,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 08:19:16,'2026030508191229869020262628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924516181540175200,'6924516181540175200,'SS76125482290078684670077,2026-02-27 08:12:40,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 08:33:54,'2026030508335132212465162628,入账,4.74,聚合账户,货款结算入账,精选联盟,'6924518395074673831,'6924518395074673831,'SS76126387325834859860188,2026-02-27 07:33:25,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,-5,-0.25,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 11:42:56,'2026030511425132935124742628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924518412071959988,'6924518412071959988,'SS76125909223163824910243,2026-02-27 07:47:10,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,5.99,0,0,4,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-05 14:42:37,'2026030514422403278648832628,出账,0.07,聚合账户,平台返现/返券活动追缴用户退回平台,精选联盟,'6950897975601796474,'6950897975601796474,'147382774434055452,2026-02-26 09:01:34,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,广州斌立科技有限公司,签到领现金追缴用户后商家退回平台返现金额
2026-03-05 14:42:37,'2026030514422429280837222628,入账,0.07,聚合账户,退款-订单退款触发-分账,精选联盟,'6950897975601796474,'6950897975601796474,'147382774434055452,2026-02-26 09:01:34,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,广州斌立科技有限公司,签到领现金追缴用户后商家退回平台返现金额
2026-03-06 01:46:32,'2026030601462719594614032628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950923813620750305,'6950923813620750305,'SS76129428768086758830038,2026-02-27 07:34:16,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-06 02:36:13,'2026030602360813563499932628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950912636287719113,'6950912636287719113,'SS76129055763686077440226,2026-02-27 08:06:22,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,6.99,0,0,3,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-06 02:54:06,'2026030602540304416476682628,入账,8.54,聚合账户,货款结算入账,精选联盟,'6924518476236423133,'6924518476236423133,'SS76129907249674327450128,2026-02-27 08:27:08,'3796349154066825652,七彩吹泡泡系列专用补充液泡泡浓缩液 便携袋装泡泡水泡泡液安全,'1400117048905447,欣晴玩具,普通订单,8.99,0,0,0,0,0,0,0,0,0,0,0,-0.45,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-06 03:27:15,'2026030603271110873900042628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950895616233707097,'6950895616233641561,'SS76128560589099177340085,2026-02-26 09:19:52,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-06 03:54:15,'2026030603541229369142102628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924550641316101907,'6924550641316101907,'SS76128074092120315510198,2026-02-28 06:54:11,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-06 03:55:06,'2026030603550329492841152628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924499646833720784,'6924499646833720784,'SS76128322723536942580178,2026-02-26 07:50:09,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-06 04:17:53,'2026030604175103062707612628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924518376144796885,'6924518376144796885,'SS76129120514505771520202,2026-02-27 07:42:27,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-06 04:35:00,'2026030604345816108426652628,入账,14.24,聚合账户,货款结算入账,精选联盟,'6924548520508358610,'6924548520508358610,'SS76128338228370150860207,2026-02-28 07:06:15,'3805378828843483239,2026新款冲电黄小鸭泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,14.99,0,0,0,0,0,0,0,0,0,0,0,-0.75,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-06 04:37:56,'2026030604375407987041822628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950895616233641561,'6950895616233641561,'SS76128560453335782460086,2026-02-26 09:19:52,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-06 04:54:31,'2026030604542826930711502628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6924532010816142925,'6924532010816142925,'SS76129928143888717180175,2026-02-27 07:58:04,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-06 05:42:21,'2026030605421925166651072628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950919453198062942,'6950919453198062942,'SS76128101404258637210074,2026-02-27 07:50:11,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,5.99,0,0,4,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
2026-03-06 05:42:32,'2026030605423018669243422628,入账,9.49,聚合账户,货款结算入账,精选联盟,'6950910304736711879,'6950910304736711879,'SS76130001197088448500184,2026-02-27 07:37:38,'3805374134351953971,2026新款冲电泡泡机炫酷手持七彩泡泡机玩具爆款卡通泡泡枪,'1400117048905447,欣晴玩具,普通订单,9.99,0,0,0,0,0,0,0,0,0,0,0,-0.5,0,0,0,0,0,0,,0,广州斌立科技有限公司,订单结算
